user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
4616774652,"RT @NoHoesGeorge: PROOF that global warming is REAL\n\nIf global warming isn't real, then why did Club Penguin get shut down?🤔 https://t.co/Y…",Chief Grief,4616774652,Nonestro1,1,"Chicago, IL","Chicago, IL",User location, Illinois
167084237,RT @VINNYGUADAGNINO: @realDonaldTrump I think climate change is more complex than global warming will make it hotter. It has to do with dis…,syd the cowboy kid,167084237,SquidlyWillis,1,"Portland, OR","Portland, OR",User location,Oregon
9.27396E+17,"RT @chelseahandler: Hey dumbass, global warming doesn’t only mean extreme heat; it means extreme weather. Hot and cold. Maybe buy a thermom…",Keanu Ramos,9.27396E+17,KeanuRamos4,1,"Seaside, CA","Seaside, CA",User location,California
267441563,RT @VINNYGUADAGNINO: @realDonaldTrump I think climate change is more complex than global warming will make it hotter. It has to do with dis…,Calla,267441563,callahughey,1,Ope,Ope,User location,
8.42932E+17,"RT @realDonaldTrump: In the East, it could be the COLDEST New Year’s Eve on record. Perhaps we could use a little bit of that good old Glob…",Fabio Mendes Silva,8.42932E+17,Fabiov08,1,"Camaragibe, Brasil","Camaragibe, Brasil",User location,
8.03727E+17,"RT @GrrrGraphics: Hey @algore I just shoveled about a foot of that ""Global Warming"" out of my drive way...\n\nhttps://t.co/Oj98iIxEAZ https:/…",Michael,8.03727E+17,CHTrumpSupport,1,"Winterthur, Schweiz","Winterthur, Schweiz",User location,
219574685,"RT @nizmycuba: ""Brutally cold weather has frozen the area around Niagara Falls — and could freeze the waterfalls if the arctic blast contin…",CapitãoPQD👉1️⃣7️⃣Bolsonaro👊🐸,219574685,barbuteko,1,"Três Coroas, Brasil","Três Coroas, Brasil",User location,
3435596223,"RT @realDonaldTrump: In the East, it could be the COLDEST New Year’s Eve on record. Perhaps we could use a little bit of that good old Glob…",LUCIMÁRIA & BENJAMIN,3435596223,taciomanutd,1,"Teixeira de Freitas, Brasil","Teixeira de Freitas, Brasil",User location,
14304302,"RT @repdinatitus: Trump may get a rise out of his tweet, but he won’t be laughing if Mar-a-Lago is under water.  https://t.co/7VXOni01LX",Liz,14304302,nwjerseyliz,1,"Deep in the deep, deep state.","Deep in the deep, deep state.",User location, Indiana
459407571,"RT @nytopinion: Scientists increasingly are able to detect global warming’s fingerprint on hurricanes, drought, flooding, wildfires and oth…",24-6 Project,459407571,StevenMitsch,1,United States,United States,User location,
