user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
1451868714,"RT @khwalz: No global warming, @realDonaldTrump ? My, what an asshole hypocrite and liar you are. But we've known for ages that you're a sw…",Megan 4Freedom,1451868714,meganhswanson,1,United States,United States,User location,
345385271,RT @unscriptedmike: So Dems will soon control the House.\n\nThey’ll push socialism in the most successful capitalist country in history.\n\nThe…,COVFEFE🇺🇸 LLOJAK,345385271,llojak,1,"Michigan, USA","Michigan, USA",User location,Michigan
7.53219E+17,99 Alternatives  -UN global warming report urges to reduce CO2 https://t.co/PATFumFJYe,99 Alternatives,7.53219E+17,99_Alternatives,1,"England, United Kingdom","England, United Kingdom",User location,
202482549,"RT @perfectsliders: WHat is it really called now, Global Warming or Climate Change?",Joe Malley,202482549,jojoemal,1,"Boston, MA","Boston, MA",User location, Massachusetts
7.59456E+17,RT @ewoutjellema: 4 REASONS TO GO VEGAN:\n\n1. Meat is worse for global warming than cars.\n\n2. Going 1 year without beef saves 3432 trees.\n\n3…,Thotiana 😤,7.59456E+17,bi_maself,1,"I'm a stoner luv, enjoy 🔥","I'm a stoner luv, enjoy 🔥",User location,
4305051193,"@bob_zim @Rick_Ragan @JohnCornyn The big scare during the 1970s was that fossil fuels were causing global COOLING,… https://t.co/rliDSbv6st",Ken Gardner,4305051193,KenGardner11,1,"Texas, USA","Texas, USA",User location,Texas
792684,"If we want to stop global warming, we need to stop eating animals. https://t.co/gBmZvn0R7o",Jean Hébert Ⓥ,792684,jeanh,1,Vancouver (CA),Vancouver (CA),User location,
7.10089E+17,RT @unscriptedmike: So Dems will soon control the House.\n\nThey’ll push socialism in the most successful capitalist country in history.\n\nThe…,🏝beachgoddess 🏖⭐️⭐️⭐️ (ShadowBanned )⛱,7.10089E+17,MMjustified,1,Everywhere & Nowhere,Everywhere & Nowhere,User location,
7.96416E+17,RT @ewoutjellema: 4 REASONS TO GO VEGAN:\n\n1. Meat is worse for global warming than cars.\n\n2. Going 1 year without beef saves 3432 trees.\n\n3…,vchilldude,7.96416E+17,212br0,1,"Bushwick, Brooklyn","Bushwick, Brooklyn",User location,New York
1723592922,RT @ewoutjellema: 4 REASONS TO GO VEGAN:\n\n1. Meat is worse for global warming than cars.\n\n2. Going 1 year without beef saves 3432 trees.\n\n3…,Oliver,1723592922,Oli122010,1,"Derby, England","Derby, England",User location,
