user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
20481387,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Christopher Thompson,20481387,bizbrokerchris,1,Stockton CA,Stockton CA,User location,
541902518,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",SENSE🔥OF🔥OUTRAGE 🇮🇪#𝙔𝙚𝙢𝙚𝙣𝘾𝙖𝙣𝙩𝙒𝙖𝙞𝙩,541902518,SenseOf_OUTRAGE,1,🄻🄸🄼🄱🄾 #FreeAssange ,🄻🄸🄼🄱🄾 #FreeAssange ,User location,
102492302,"#CleanEnergy is not the future, but a present reality. We must move away from fossil fuels. #ClimateChange\nhttps://t.co/bRZu6U1T1I",Steve S.J. Lee,102492302,steveleesj,1,Canada,Canada,User location,
2613167647,RT @AlexEpstein: In 2007/08 candidate @BarackObama declared his intention to destroy fossil fuel energy in US and around the world. https:/…,scott,2613167647,rand197161,1,Galt's Gulch,Galt's Gulch,User location, Utah
35796621,@Dr_KatieG1 @EvoPhD @voxdotcom and the market opportunities for gas sales! Religious right also love their fossil fuels!,Christopher Lynn,35796621,Chris_Ly,1,"Tuscaloosa, AL","Tuscaloosa, AL",User location, Alabama
23015842,Declaration of Independence from Fossil Fuels - Renewable Energy - MOTHER EARTH NEWS https://t.co/7W57sfTCY9,William Ash,23015842,BillAsh,1,Suncoast :) Why Florida? So I can concentrate- Good enough for Paul Dirac- Good enough for me!! ;),Suncoast :) Why Florida? So I can concentrate- Good enough for Paul Dirac- Good enough for me!! ;),User location,
1719525565,"RT @SteerMark: Fossil fuels aren't causing ClimateChange, Chemtrails are.\n\nGeoengineering SRM WeatherModification @ClimateReality https://t…",Сербкиња 1244,1719525565,TanyaSerbia,1,Београд/Србија-Belgrade/SERBIA,Београд/Србија-Belgrade/SERBIA,User location,
920000198,2016 was the year solar panels finally became cheaper than fossil fuels. Just wait for 2017 https://t.co/Cdy011NJbj via @qz,Add Your Name,920000198,DecisionZero,1,Digital Journal,Digital Journal,User location,
430057402,RT @NextGenClimate: Renewable energy has reached a tipping point: https://t.co/k7d5jXNohS,carlos,430057402,clrih9,1, ft laud fla , ft laud fla ,User location,
2851656658,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Lia Andrews,2851656658,DrLia3,1,"San Diego, CA","San Diego, CA",User location, California
1390728259,RT @williamfreimuth: .@grist Wow! Portland bans new fossil fuel infrastructure in stand against #ClimateChange https://t.co/P4tvezEd9q,Sandi Walters,1390728259,srzjwalters,1,Staying Global,Staying Global,User location,
65120853,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Sandra J Gobely,65120853,Sundaughter9,1,NE OHIO,NE OHIO,User location,Ohio
4835721784,RT @NinjaEconomics: 2016 was the year solar panels finally became cheaper than fossil fuels. https://t.co/80EQfPHhEN,Raúl del Canto,4835721784,rauldcanto,1,"Ceuta, España","Ceuta, España",User location,
45691679,"RT @TulsiGabbard: Good job, Hawaiʻi - continuing to lead in harnessing renewable energy resources to leave fossil fuels behind.\nhttps://t.c…",Patricia,45691679,pattielynn1969,1,Mid Atlantic USA,Mid Atlantic USA,User location,
177420212,RT @NinjaEconomics: 2016 was the year solar panels finally became cheaper than fossil fuels. https://t.co/80EQfPHhEN,Robert Merkel,177420212,rgmerk,1,"Melbourne, Australia","Melbourne, Australia",User location,
246397813,What #cleantech news are you reading? Share it with us & check our Weekly #Newsflash for what grabbed our attn:… https://t.co/UKU50vWBFs,Greentown Labs,246397813,GreentownLabs,1,"Union Square, Somerville, MA","Union Square, Somerville, MA",User location,Massachusetts
