user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
33332995,RT @AZPatriot01: GO FIGURE!\n\nReport: Climate Models Have Been Wrong About #GlobalWarming For 6 Decades #TCOT  https://t.co/SXW28Y8gWO https…,Rick,33332995,Tallin_99,1,est,est,User location,
631340866,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Simona Santomauro,631340866,simokthxbai,1,MORDOR,MORDOR,User location,
2883544054,CBS News just reported that it was 33° at the north pole today.....50° above normal......that's scary.  Global warming?,Drew Sumrell,2883544054,drew_sumrell,1,NC,NC,User location,North Carolina
3160381099,RT @AZPatriot01: GO FIGURE!\n\nReport: Climate Models Have Been Wrong About #GlobalWarming For 6 Decades #TCOT  https://t.co/SXW28Y8gWO https…,Craig Havenaar,3160381099,Havenaar64,2,doodaczechville,doodaczechville,User location,
713834137,Global warming is a myth,Carrington Matlock,713834137,IAmCarebear2408,1,"Allen, TX","Allen, TX",User location, Texas
23765391,@ABC #NOAABusted #CookingtheBooks on #GlobalWarming #YouWelcome https://t.co/njxkhkcDPl,🐸 gab.ai 🐸,23765391,bitsy423,1,USA,USA,User location,
3431831073,People fail to realize global warming is becoming a real HUGE issue. 🌎,Juno™,3431831073,JunoCentral,1,The Forums,The Forums,User location,
69004648,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Scott Ferguson,69004648,borisranting,1,London for now (Aussie),London for now (Aussie),User location,
737152382,Well global warming is definitely here : Freak storm pushes North Pole 50 degrees above normal to melting point https://t.co/pv6AomeCu1,Bite Your Lip Events,737152382,JamesReidTMF,2,Saltaire,Saltaire,User location,
769251162,When global warming really kicks in...#error https://t.co/y9yeCk0agS,Simon Lee,769251162,SimonLeeWx,1,"Reading, England","Reading, England",User location,
180826083,"Global warming's real you guys *sips mimosa, lowers straw hat to top of Oakley sunglasses*",Mazaaq 🇺🇸,180826083,IEatChawal,1,FEMA Region II,FEMA Region II,User location,
20664941,Paper: Scientists Still Can’t Explain The ‘Grand Hiatus’ In Global Warming https://t.co/Qwk2l5gNyL #climate #climatechange,Lawrence Orsini,20664941,Ltorsini,1,"iPhone: -0.676285, -75.673253","iPhone: -0.676285, -75.673253",User location,
456865788,Strong @HoustonChron Editorial: 5 things politicians need to do in fight against #climatechange https://t.co/8N6kcwDIJr @TXGreens @TXsharon,Allan Margolin,456865788,AllanMargolin,1,NYC USA,NYC USA,User location, New York
130930203,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Peter Goodwin,130930203,petergoodwin92,1,-,-,User location,
2516013102,RT @GeorgeMonbiot: Seeing the kind of impacts we feared might hit by 2100. But perhaps just 1C of global warming has tipped the system. htt…,🌊🌊❄Marc Slavin❄❄VoteBlue2020❄️ 🌊🌊,2516013102,MarcVegan,1,"New Jersey, USA","New Jersey, USA",User location,New Jersey
129314386,"RT @RealJamesWoods: Oh, Baby! Gonna be some very rich Democrats... https://t.co/GObal44aFP",Robin Enochs,129314386,RobinEnochs,1,Texas ♡ Yeshua ,Texas ♡ Yeshua ,User location,Texas
320765184,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Kjetil Møllerup Gloppedal,320765184,BaglerTbg,1,"Tønsberg, Norway","Tønsberg, Norway",User location,
17964980,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Alex Quinn,17964980,alxqnn,1,"Liverpool, England","Liverpool, England",User location,
3435756377,@philbo62 @Big_Bad_John_4 @LesleyMillercyp Global warming but the ice caps are re-freezing. Now they cling to a natural occurence.,Charlotte O'Neill,3435756377,IrishLadyuk,1,"Oxshott, Surrey and Ireland","Oxshott, Surrey and Ireland",User location,
157727650,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Rich Laverty,157727650,RichJLaverty,1,"Here, there & everywhere","Here, there & everywhere",User location,
18192682,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Goopy GilsCarbo,18192682,nakedmallrat69,1,abz,abz,User location,
3393885953,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Michala Ann 🦊,3393885953,MichalaSouris,1,I left my heart at the ocean,I left my heart at the ocean,User location,
1545513073,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Emily Watkins,1545513073,deathandcaches,1,"San Francisco, CA","San Francisco, CA",User location,
378327094,RT @AZPatriot01: GO FIGURE!\n\nReport: Climate Models Have Been Wrong About #GlobalWarming For 6 Decades #TCOT  https://t.co/SXW28Y8gWO https…,Bacon Sandwich,378327094,BJquipsonline,1,Orange County CA ,Orange County CA ,User location, California
156904031,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Immovable Object,156904031,annaegardner,1,"Dec. 22, 1926","Dec. 22, 1926",User location,
24749770,"I see snow in the ground, therefore no global warming. \n\nhttps://t.co/j4VIYAzH8S",Scott McKay,24749770,swmckay,1,Boston-Lisbon-SF; ex-Bangalore,Boston-Lisbon-SF; ex-Bangalore,User location,
19419775,RT @climatechangen: @Citril bit of the both - https://t.co/GHd0QuRcLT Global warming makes El Ninos worse,Susan Simpson✒️,19419775,Citril,1,"Benderloch, Argyll","Benderloch, Argyll",User location,
25754199,Global warming still a GOTDAMN MYTH???  https://t.co/wdgGIdktB0,Audieaux Gold,25754199,Trayo,1,Currently in Limbo,Currently in Limbo,User location,
2874398938,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Tone Tømte 🍷,2874398938,MteTone,1,"Hamar, Norge","Hamar, Norge",User location,
12131042,"@svarvel_82 dude, it's like 25C here. Global warming is no joke.",Jeremy Blackburn,12131042,jhblackb,1,"Birmingham, AL","Birmingham, AL",User location, Alabama
1693792225,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Seán Keany,1693792225,TheNewSeanKeany,1,London - Dublin,London - Dublin,User location,
234155336,Aye Global warming is lit https://t.co/0fWxOXZOHm,🇭🇹 Soup Joumou Season,234155336,TBG617,1,"Pignon, Haiti","Pignon, Haiti",User location,
1121974129,Bismillah...\n\nADA sebuah nubuwat yang benar-benar menggambarkan betapa dekatnya masa-masa keluarnya Dajjal dengan... https://t.co/cgfRlc2Cp8,TutorialHijabModern,1121974129,WeLoveTHM,2,Palembang,Palembang,User location,
224196722,What global warming?  https://t.co/nZx8Cvm33M,ⓡⓞⓢⓢ,224196722,RossBarbour,1,"Amsterdam, The Netherlands","Amsterdam, The Netherlands",User location,
21899643,RT @woodys3333: IBD Notes Three Global Warming Stories The U.S. Press Has Ignored https://t.co/BtzRckWKjL,SheLooksJustLikeYouJohn,21899643,AsilisArt,1,James Woods: Free speech is free speech — it's not Jack Dorsey's version of free speech,James Woods: Free speech is free speech — it's not Jack Dorsey's version of free speech,User location,
460096469,"RT @shariv67: Excuse me, sir. Do you have a minute to talk about global warming? https://t.co/wAtiZmSR2Z",Cam Perkins,460096469,H20FrntDsgn,1,AKL (recovering Australian),AKL (recovering Australian),User location,
940978776,RT @dpoeschl: TSA at the Pittsburgh airport is so bad it literally causes global warming. https://t.co/W1GGZNspyT,Frank,940978776,TheSaburo23,1,Seattle,Seattle,User location, Washington
